Plot ID,Sp no,Plot ID_Sp no,total.leaf.area
VG41,S4(1),VG41_S4(1),44.752
VG42,S1,VG42_S1,197.85
VG42,S2,VG42_S2,64.554
VG42,S3,VG42_S3,157.015
VG42,S4,VG42_S4,137.135
VG42,S5,VG42_S5,55.187
VG42,S6 (1),VG42_S6 (1),33.699
VG42,S6 (2),VG42_S6 (2),47.993
VG42,S6 (3),VG42_S6 (3),25.088
VG42,S6 (4),VG42_S6 (4),29.752
VG42,S6 (5),VG42_S6 (5),29.968
VG42,S6 (6),VG42_S6 (6),38.52
VG43,S3(1),VG43_S3(1),111.08
VG43,S3(2),VG43_S3(2),83.104
VG32,S1(1),VG32_S1(1),117.226
